date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-08,1,20,Tether,USDT,14951719.0,1.00,14951591,1.00,0.0,0.00,0.00
2017-01-08,1,21,EDC Blockchain,EDC,13555545.0,0.9951,13621634,0.9951,-0.08,6.79,10.88
2017-01-08,1,22,Ardor,ARDR,11118144.0,0.01113,998999495,0.01113,-0.55,-1.09,8.30
2017-01-08,1,23,GameCredits,GAME,10897671.0,0.1821,59850700,0.1821,-0.48,-0.31,-15.53
2017-01-08,1,24,Swiscoin,SCN,9925395.0,0.01772,560274851,0.01772,-16.12,-3.91,-21.14
2017-01-08,1,25,BitShares,BTS,9540414.0,0.003699,2578880000,0.003699,-0.01,1.41,-7.77
2017-01-08,1,26,Bytecoin,BCN,9120902.0,0.00005006,182205160114,0.00005006,1.62,-3.77,-9.90
2017-01-08,1,27,Emercoin,EMC,7932537.0,0.202,39269905,0.202,-0.19,2.01,14.32
2017-01-08,1,28,Gulden,NLG,7908645.0,0.02339,338150045,0.02339,-0.84,-3.37,-9.37
2017-01-08,1,29,ShadowCash,SDC,7903813.0,1.19,6616920,1.19,-6.86,-2.93,8.33
2017-01-08,1,30,Siacoin,SC,7771473.0,0.0003508,22156366869,0.0003508,0.71,21.83,52.67
2017-01-08,1,31,Golem,GNT,7601003.0,0.01116,681009001,0.01116,0.28,-5.71,12.56
2017-01-08,1,32,Storjcoin X,SJCX,6869230.0,0.1361,50468144,0.1361,0.42,6.35,11.64
2017-01-08,1,33,Neo,NEO,6630442.0,0.1326,50000000,0.1326,-0.06,1.68,-7.14
2017-01-08,1,34,Xaurum,XAUR,6309634.0,0.07098,88898186,0.07098,-0.16,-3.16,-28.83
2017-01-08,1,35,Nxt,NXT,5972873.0,0.005979,998999983,0.005979,-1.3,-1.95,-1.35
2017-01-08,1,36,SingularDTV,SNGLS,5956356.0,0.009927,600000000,0.009927,-0.19,11.79,-3.40
2017-01-08,1,37,Stratis,STRAT,5892801.0,0.05999,98222374,0.05999,1.45,-4.56,-18.76
2017-01-08,1,38,I/O Coin,IOC,5836024.0,0.358,16303983,0.358,-1.53,-2.10,-4.46
2017-01-08,1,39,Peercoin,PPC,5775697.0,0.243,23771648,0.243,-0.18,0.17,-0.25
2017-01-08,1,40,Counterparty,XCP,5480446.0,2.09,2620667,2.09,-2.85,6.97,16.78
2017-01-08,1,41,LoMoCoin,LMC,5279410.0,0.02512,210204405,0.02512,6.74,20.07,-11.72
2017-01-08,1,42,Rubycoin,RBY,5116466.0,0.2143,23880294,0.2143,-0.16,1.63,-2.19
2017-01-08,1,43,YbCoin,YBC,4622575.0,1.53,3017838,1.53,-0.77,0.54,-3.51
2017-01-08,1,44,Syscoin,SYS,4444718.0,0.008516,521939618,0.008516,0.05,5.79,-3.25
2017-01-08,1,45,BitcoinDark,BTCD,4443800.0,3.45,1288862,3.45,-1.34,8.46,-2.06
2017-01-08,1,46,BitCrystals,BCY,3994367.0,0.09638,41445224,0.09638,0.72,5.40,-18.38
2017-01-08,1,47,PotCoin,POT,3874177.0,0.01799,215357934,0.01799,1.9,8.07,17.22
2017-01-08,1,48,Namecoin,NMC,3333177.0,0.2262,14736400,0.2262,-0.03,1.42,-6.30
2017-01-08,1,49,HyperSpace,AMP,3179288.0,0.03865,82256324,0.03865,0.08,-1.69,-3.28
2017-01-08,1,50,Yocoin,YOC,3141802.0,0.04916,63908830,0.04916,-0.21,-2.08,34.12
2017-01-08,1,51,Decred,DCR,2909521.0,0.8233,3533983,0.8233,-0.97,17.18,69.42
2017-01-08,1,52,DigiByte,DGB,2778460.0,0.0003553,7820252497,0.0003553,1.52,6.09,39.90
2017-01-08,1,53,Global Currency Reserve,GCR,2599732.0,0.02548,102036127,0.02548,-0.16,-7.65,-27.35
2017-01-08,1,54,Obyte,GBYTE,2460237.0,24.60,100000,24.60,3.86,8.96,26.71
2017-01-08,1,55,NavCoin,NAV,2414777.0,0.0399,60519959,0.0399,-1.58,-0.73,4.61
2017-01-08,1,56,SIBCoin,SIB,2346581.0,0.1787,13134085,0.1787,1.99,7.30,91.03
2017-01-08,1,57,SolarCoin,SLR,2210923.0,0.06353,34801407,0.06353,-0.07,0.97,-24.17
2017-01-08,1,58,BlackCoin,BLK,2134876.0,0.02813,75889000,0.02813,0.04,-1.43,1.78
2017-01-08,1,59,Nexus,NXS,2081636.0,0.04547,45778728,0.04547,-0.16,3.33,63.87
2017-01-08,1,60,GridCoin,GRC,2073810.0,0.00539,384753368,0.00539,-1.22,0.91,-27.62
2017-01-08,1,61,Clams,CLAM,1727449.0,0.832,2076289,0.832,-1.6,-1.62,-1.55
2017-01-08,1,62,Aeon,AEON,1723925.0,0.1298,13279589,0.1298,-0.16,-0.05,23.67
2017-01-08,1,63,Round,ROUND,1626490.0,0.001914,850000000,0.001914,-0.03,1.36,18.33
2017-01-08,1,64,vSlice,VSL,1488336.0,0.04457,33390496,0.04457,4.89,12.25,-47.27
2017-01-08,1,65,Lykke,LKK,1451741.0,0.04839,30000000,0.04839,-0.01,-0.26,-3.96
2017-01-08,1,66,Omni,OMNI,1377371.0,2.48,555721,2.48,-0.19,-0.13,-16.12
2017-01-08,1,67,FedoraCoin,TIPS,1279024.0,0.000002886,443168182458,0.000002886,0.0,-7.83,-9.04
2017-01-08,1,68,VPNCoin,VASH,1277164.0,0.00319,400339746,0.00319,-0.31,2.27,-7.48
2017-01-08,1,69,Steem Dollars,SBD,1180191.0,0.9888,1193605,0.9888,0.02,-1.03,-1.54
2017-01-08,1,70,Veros,VRS,1067806.0,0.05934,17994322,0.05934,-0.04,9.40,-20.75
2017-01-08,1,71,EarthCoin,EAC,1050826.0,0.0001124,9346468332,0.0001124,-0.06,2.96,7.13
2017-01-08,1,72,MonaCoin,MONA,1035917.0,0.02354,43999000,0.02354,-0.16,-0.17,0.50
2017-01-08,1,73,Expanse,EXP,982282.0,0.1985,4948899,0.1985,0.75,3.08,-8.66
2017-01-08,1,74,Vertcoin,VTC,952665.0,0.02952,32271547,0.02952,-0.1,-0.40,-14.53
2017-01-08,1,75,Auroracoin,AUR,941068.0,0.1087,8658139,0.1087,-0.18,-3.07,-3.00
2017-01-08,1,76,Novacoin,NVC,925120.0,0.577,1603291,0.577,-0.5,0.05,-0.91
2017-01-08,1,77,Curecoin,CURE,920336.0,0.03482,26431310,0.03482,-4.56,-4.71,-1.19
2017-01-08,1,78,Radium,RADS,911012.0,0.2953,3084772,0.2953,2.3,-0.17,8.93
